企業名,法人番号,新卒フラグ,掲載媒体,掲載媒体数,採用予定人数,取得日,採用ページ有無,採用ページURL,新卒言及,職種,外部採用媒体,根拠
株式会社アイ・アイ・エム,1010001000055,,,0,,2026-06-14,,,,,,
スズデン株式会社,1010001003966,,,0,,2026-06-14,,,,,,
日産化学株式会社,1010001008734,,,0,,2026-06-14,,,,,,
五洋建設株式会社,1010001000006,,,0,,2026-06-14,○,https://www.penta-ocean.co.jp/company/recruit/index.html,,,,top-anchor
株式会社片平新日本技研,1010001001854,○,,0,,2026-06-14,○,https://www.katahira.co.jp/recruit/,○,施工管理/コンサル,job.mynavi.jp,top-anchor
ＪＦＥスチール株式会社,1010001008668,○,,0,,2026-06-14,○,https://www.jfe-steel.co.jp/saiyou/recruit/message.html,○,営業,job.axol.jp/axol.jp,top-anchor
住友商事株式会社,1010001008692,○,,0,,2026-06-14,○,https://www.sumitomocorp.com/ja/jp/employ,○,営業,sumitomocorp-recruiting.com/scg-recruit.jp/sumisho-sws.com,top-anchor
ＤＯＷＡホールディングス株式会社,1010001008750,○,,0,,2026-06-14,○,https://hd.dowa.co.jp/ja/recruit.html,○,,,top-anchor
アース環境サービス株式会社,1010001009823,,,0,,2026-06-14,,,,,,
株式会社アスク,1010001009831,,,0,,2026-06-14,,,,,,
三井物産株式会社,1010001008767,○,,0,,2026-06-14,○,https://www.mitsui.com/jp/ja/careers/mitsuigroup/index.html,○,企画/販売/コンサル,career.mitsui.com,top-anchor
日本曹達株式会社,1010001008833,,,0,,2026-06-14,○,https://www.nippon-soda.co.jp/recruitment/saiyo/,,営業,nippon-soda.snar.jp,top-anchor
商船三井ロジスティクス株式会社,1010001012546,,,0,,2026-06-14,,,,,,
石福金属興業株式会社,1010001010624,,,0,,2026-06-14,○,https://recruit.ishifuku-kinzoku.co.jp/,,営業/技術職,recruit.ishifuku-kinzoku.co.jp,common-path
イチカワ株式会社,1010001000708,○,,0,,2026-06-14,○,https://www.ik-felt.co.jp/Portals/0/recruit/index.html,○,営業/販売,,top-anchor
株式会社大塚商会,1010001012983,○,,0,,2026-06-14,○,https://www.otsuka-shokai.co.jp/corporate/recruit/,○,介護,,top-anchor
日本高周波鋼業株式会社,1010001016852,,,0,,2026-06-14,,,,,,
株式会社グロービス,1010001015334,,,0,,2026-06-14,○,https://globis.co.jp/careers/,,エンジニア/デザイナー,recruiting.globis.co.jp,top-anchor
株式会社ニッスイ,1010001016860,○,,0,,2026-06-14,○,https://www.nissui.co.jp/recruit/index.html,○,エンジニア/営業/総合職/技術職/事務,,top-anchor
株式会社ミクニ,1010001008791,,,0,,2026-06-14,○,https://www.mikuni.co.jp/recruit/special/,,営業/事務/介護/販売,mikuni-recruit.snar.jp,top-anchor
ジャパンプロテクション株式会社,1010001019236,,,0,,2026-06-14,,,,,,
株式会社ザイエンス,1010001017941,,,0,,2026-06-14,,,,,,
株式会社ＣＡＣ　Ｈｏｌｄｉｎｇｓ,1010001019335,,,0,,2026-06-14,,,,,,
住商エアロシステム株式会社,1010001020185,○,,0,,2026-06-14,○,https://www.sc-aero.co.jp/recruit/,○,総合職,,top-anchor
ミズホ株式会社,1010001007612,○,,0,,2026-06-14,○,https://www.mizuho.co.jp/recruit,○,営業/技術職/販売,,top-anchor
ソリッドコミュニケーション株式会社,1010001021349,,,0,,2026-06-14,,,,,,
株式会社第一管理代行,1010001021381,,,0,,2026-06-14,,,,,,
株式会社中央経済社ホールディングス,1010001022710,,,0,,2026-06-14,,,,,,
株式会社ティ・オー・エス,1010001023378,,,0,,2026-06-14,,,,,,
東洋計測器株式会社,1010001024129,,,0,,2026-06-14,,,,,,
東光電気工事株式会社,1010001024087,,,0,,2026-06-14,○,http://www.tokodenko.co.jp/recruit/career/,,営業/企画,recruit.tokodenko.co.jp,top-anchor
株式会社内藤一水社,1010001025135,,,0,,2026-06-14,,,,,,
ＮＴＴ都市開発株式会社,1010001012372,,,0,,2026-06-14,,,,,,top-fetch-failed
ＮＸ商事株式会社,1010001025515,,,0,,2026-06-14,,,,,,
日信防災株式会社,1010001025449,○,,0,,2026-06-14,○,https://www.nissin-b.co.jp/recruit,○,営業/施工管理/介護,,top-anchor
東京電力ホールディングス株式会社,1010001008825,,,0,,2026-06-14,,,,,,top-fetch-failed
株式会社はとバスエージェンシー,1010001026819,,,0,,2026-06-14,,,,,,
株式会社野澤組,1010001026166,○,,0,,2026-06-14,○,https://www.nosawa.co.jp/recruit/,○,販売,doda.jp/nosawa.jp,top-anchor
山崎金属産業株式会社,1010001031109,,,0,,2026-06-14,,,,,,
株式会社共立メンテナンス,1010001014427,,,0,,2026-06-14,○,https://www.kyoritsugroup.co.jp/en/recruit/,,,,top-anchor
イー・アンド・エム株式会社,1010001010847,,,0,,2026-06-14,,,,,,top-fetch-failed
株式会社ＪＰＦ,1010001033237,○,,0,,2026-06-14,○,https://www.jpf.co.jp/recruit/,○,営業/事務/企画,,top-anchor
ＣＨＥＭＩＰＡＺ株式会社,1010001033609,○,,0,,2026-06-14,○,https://www.chemipaz.com/recruit/new-graduates/,○,営業/事務/企画,,top-anchor
株式会社テレコムスクエア,1010001026918,○,,0,,2026-06-14,○,https://www.telecomsquare.net/recruit/,○,営業/企画/デザイナー/介護/マーケティング,,top-anchor
株式会社内田洋行,1010001034730,,,0,,2026-06-14,○,https://www.uchida.co.jp/recruit/index.html,,営業/企画/デザイナー/施工管理,,top-anchor
株式会社岡三証券グループ,1010001034747,,,0,,2026-06-14,,,,,,
三菱ＵＦＪファクター株式会社,1010001022149,,,0,,2026-06-14,○,https://www.muf.bk.mufg.jp/recruit/,,営業/総合職/事務/企画/コンサル,,top-anchor
株式会社資生堂,1010001034813,,,0,,2026-06-14,○,https://corp.shiseido.com/jp/careers/,,マーケティング,careers.shiseido.com,top-anchor
ＤＭ三井製糖株式会社,1010001034929,,,0,,2026-06-14,,,,,,
日清オイリオグループ株式会社,1010001034887,,,0,,2026-06-14,○,https://www.nisshin-oillio.com/company/recruit/shinsotu/,,営業/企画/販売,hrmos.co,top-anchor
Ｂｉｔｃｏｉｎ　Ｊａｐａｎ株式会社,1010001034953,,,0,,2026-06-14,○,https://www.hotta-marusho.co.jp/recruit/,,営業/事務/企画/デザイナー/販売,,top-anchor
株式会社松屋,1010001034945,,,0,,2026-06-14,,,,,,no-recruit-link
株式会社ジェイエイシーリクルートメント,1010001019483,○,,0,,2026-06-14,○,https://corp.jac-recruitment.jp/recruit/,○,,jac-recruitment.jp,common-path
日本紙パルプ商事株式会社,1010001034978,○,,0,,2026-06-14,○,http://www.kamipa.co.jp/careers/,○,販売/コンサル,,top-anchor
わかもと製薬株式会社,1010001035010,,,0,,2026-06-14,,,,,,
日本パーカライジング株式会社,1010001034994,,,0,,2026-06-14,○,https://www.parker.co.jp/recruit/index.html,,営業,job.mynavi.jp/recruit.parker.co.jp,top-anchor
東海東京フィナンシャル・ホールディングス株式会社,1010001034202,,,0,,2026-06-14,○,https://www.tokaitokyo-fh.jp/recruit/saiyo/,,営業,armg.jp,top-anchor
株式会社教映社,1120001000341,○,,0,,2026-06-14,○,https://www.kyoeisha.com/recruit,○,営業/企画/販売,,top-anchor
シャープマーケティングジャパン株式会社,1040001008905,○,,0,,2026-06-14,○,https://smj.jp.sharp/recruiting/,○,営業/販売/マーケティング,,top-anchor
株式会社かんこう,1120001007221,,,0,,2026-06-14,,,,,,
近代警備保障株式会社,1120001007337,,,0,,2026-06-14,,,,,,
加陽印刷株式会社,1120001007205,,,0,,2026-06-14,○,https://kayo.co.jp/recruit/,,営業,,top-anchor
平和不動産株式会社,1010001034920,,,0,,2026-06-14,○,https://www.heiwa-net.co.jp/recruit/shinsotsu/,,企画/介護,,top-anchor
ＳＡＮＥＩ株式会社,1120001012428,,,0,,2026-06-14,○,https://www.sanei.ltd/library/recruit/,,営業/技術職/事務/企画/介護,,top-anchor
ＦＣＭ株式会社,1120001011859,○,,0,,2026-06-14,○,https://fc-m.co.jp/mid-career-recruit/,○,営業/介護,,top-anchor
株式会社ぐるなび,1010001034565,○,,0,,2026-06-14,○,https://corporate.gnavi.co.jp/recruit/,○,エンジニア/営業/事務/介護,hr.corporate.gnavi.co.jp,top-anchor
永大化工株式会社,1120001019704,○,,0,,2026-06-14,○,https://recruit.eidaikako.co.jp/,○,営業/販売,recruit.eidaikako.co.jp,common-path
アイコム株式会社,1120001019349,,,0,,2026-06-14,○,https://www.icom.co.jp/job/recruit/,,,job.icom.co.jp,top-anchor
ホシザキ京阪株式会社,1120001025289,○,,0,,2026-06-14,○,https://hoshizaki-keihan.co.jp/recruite,○,営業/販売/コンサル,,top-anchor
大日本塗料株式会社,1120001026551,,,0,,2026-06-14,,,,,,
大阪製鐵株式会社,1120001028390,○,,0,,2026-06-14,○,https://www.osaka-seitetu.co.jp/recruit,○,営業/総合職/企画/介護,job.mynavi.jp,top-anchor
阪神警備保障株式会社,1120001031502,,,0,,2026-06-14,,,,,,
株式会社大森屋,1120001034595,,,0,,2026-06-14,,,,,,
毎美エンジニアリング株式会社,1120001036427,,,0,,2026-06-14,,,,,,
株式会社クボタ,1120001037978,○,,0,,2026-06-14,○,https://www.kubota.co.jp/recruit/careers/index.html,○,企画/施工管理/販売,,top-anchor
日本インシュレーション株式会社,1120001040610,,,0,,2026-06-14,,,,,,
帝国製鋲株式会社,1120001029380,○,,0,,2026-06-14,○,https://teikoku-seibyo.com/recruit/,○,営業/総合職/事務,,top-anchor
株式会社オートメーション．サービス,1120001042136,,,0,,2026-06-14,,,,,,
因幡電機産業株式会社,1120001041352,○,,0,,2026-06-14,○,https://www.inaba.co.jp/recruit/gradu/,○,エンジニア/営業/販売,,top-anchor
株式会社読売アルスＡ,1010001031728,,,0,,2026-06-14,,,,,,top-fetch-failed
サムテック株式会社,1120001043522,,,0,,2026-06-14,,,,,,top-fetch-failed
株式会社浜正,1120001046590,,,0,,2026-06-14,,,,,,
南海化学株式会社,1120001046120,,,0,,2026-06-14,,,,,,
中外商工株式会社,1120001045403,,,0,,2026-06-14,○,https://www.chugai-af.co.jp/,,エンジニア/営業,recruit-chugai.com,common-path
株式会社マコト電気,1120001047424,,,0,,2026-06-14,,,,,,
株式会社栗本鐵工所,1120001048991,,,0,,2026-06-14,,,,,,
株式会社山善,1120001049040,,,0,,2026-06-14,,,,,,
株式会社サガミホールディングス,1180001000443,,,0,,2026-06-14,,,,,,top-fetch-failed
株式会社つむら工芸,1120001045502,○,,0,,2026-06-14,○,https://tsumura-kogei.com/recruitwork/,○,営業,job.mynavi.jp,top-anchor
中部資材株式会社,1180001006837,,,0,,2026-06-14,,,,,,
レンゴー株式会社,1120001036880,○,,0,,2026-06-14,○,https://www.rengo.co.jp/recruit/top/,○,営業/デザイナー/マーケティング,,top-anchor
明星工業株式会社,1120001049032,,,0,,2026-06-14,○,https://www.meisei-kogyo.co.jp/recruit/,,営業,,top-anchor
日邦産業株式会社,1120901007832,○,,0,,2026-06-14,○,https://www.nip.co.jp/recruit/fresh,○,営業/企画,,top-anchor
朝日金属株式会社,1180001011481,○,,0,,2026-06-14,○,https://www.asahi-metal.com/recruit/,○,営業/事務,asahi-metal.com,common-path
ニプロバスキュラー株式会社,1180001001887,○,,0,,2026-06-14,○,https://www.nipro-vas.com/recruit/newgrad_entry.html,○,,,top-anchor
株式会社エフエム東京,1010001012439,,,0,,2026-06-14,○,https://www.tfm.co.jp/company/about/recruit/career,,総合職,,common-path
株式会社ニットー,1180001013107,○,,0,,2026-06-14,○,https://www.nittoh-info.co.jp/recruit/special,○,総合職/事務,,top-anchor
大同メタル工業株式会社,1180001012595,,,0,,2026-06-14,○,https://www.daidometal.com/contact-us/careers/,,,recruit.daidometal.com,common-path
愛知株式会社,1180001015879,,,0,,2026-06-14,,,,,,
株式会社チップトン,1180001014914,○,,0,,2026-06-14,○,https://www.tipton.co.jp/recruit/,○,営業,,top-anchor
株式会社スズケン,1180001017009,○,,0,,2026-06-14,○,http://www.suzuken.co.jp/recruit/fresh/,○,介護,,top-anchor
名古屋酸素株式会社,1180001007067,,,0,,2026-06-14,○,https://nagoya-sanso.co.jp/recruit/,,営業/事務,,top-anchor
株式会社新日,1180001019673,,,0,,2026-06-14,,,,,,
カネ美食品株式会社,1180001023411,,,0,,2026-06-14,,,,,,
クロスプラス株式会社,1180001025507,,,0,,2026-06-14,,,,,,
ウシオ電機株式会社,1010001008651,,,0,,2026-06-14,○,https://ushio-recruit.jp/,,,ushio-recruit.jp,external-only
ピーエス・コンストラクション株式会社,1010001008742,,,0,,2026-06-14,○,https://recruit.psc.co.jp/,,,recruit.psc.co.jp,external-only
敷島製パン株式会社,1180001016877,○,,0,,2026-06-14,○,https://www.pasconet.co.jp/saiyo/,○,,,top-anchor
東海ソフト株式会社,1180001031538,,,0,,2026-06-14,,,,,,
メイラ株式会社,1180001031884,,,0,,2026-06-14,,,,,,
